Authors,Title,Year,Sourcetitle,Cited,Link,Abstract,aKeywords,iKeywords,References,Document Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Silva A.J., Stevens C.F., Tonegawa S., Wang Y.",Deficient hippocampal long-term potentiation in ë±-calcium-calmodulin kinase II mutant mice,1992,Science,731,http://www.scopus.com/inward/record.url?eid=2-s2.0-0026637195&partnerID=40&md5=a4fb79ea96708378487609ebb2be34fa,"As a first step in a program to use genetically altered mice in the study of memory mechanisms, mutant mice were produced that do not express the ë±-calcium-calmodulin-dependent kinase II (ë±-CaMKII). The ë±-CaMKII is highly enriched in postsynaptic densities of hippocampus and neocortex and may be involved in the regulation of long-term potentiation (LTP). Such mutant mice exhibited mostly normal behaviors and presented no obvious neuroanatomical defects. Whole cell recordings reveal that postsynaptic mechanisms, including N-methyl-D-aspartate (NMDA) receptor function, are intact. Despite normal postsynaptic mechanisms, these mice are deficient in their ability to produce LTP and are therefore a suitable model for studying the relation between LTP and learning processes.",,"n methyl dextro aspartic acid receptor; protein kinase (calcium,calmodulin) ii; animal experiment; animal model; article; hippocampus; long term potentiation; memory; mouse; mouse mutant; mutant; nonhuman; priority journal; Animal; Behavior, Animal; Blotting, Northern; Blotting, Southern; Ca(2+)-Calmodulin Dependent Protein Kinase; Chromosome Mapping; DNA; Electrophysiology; Female; Hippocampus; Learning; Male; Mice; Mice, Inbred BALB C; Mice, Mutant Strains; Mutagenesis, Site-Directed; Plasmids; Protein Kinases; Receptors, N-Methyl-D-Aspartate; RNA; Support, Non-U.S. Gov't; Support, U.S. Gov't, P.H.S.; Synapses; Transfection",,Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cohen N.J., Squire L.R.",Preserved learning and retention of pattern-analyzing skill in amnesia: Dissociation of knowing how and knowing that,1980,Science,718,http://www.scopus.com/inward/record.url?eid=2-s2.0-0019163156&partnerID=40&md5=0962e60fde5462aa7d06f7e8cf6630b3,"Amnesic patients acquired a mirror-reading skill at a rate equivalent to that of matched control subjects and retained it for at least 3 months. The results indicate that the class of preserved learning skills in amnesia is broader than previously reported. Amnesia seems to spare information that is based on rules or procedures, as contrasted with information that is data-based or declarative - 'knowing how' rather than 'knowing that'. The results support the hypothesis that such a distinction is honored by the nervous system.",,"amnesia; case report; central nervous system; etiology; memory; Alcohol Amnestic Disorder; Amnesia; Electroconvulsive Therapy; Form Perception; Human; Learning; Pattern Recognition, Visual; Reading; Retention (Psychology); Support, Non-U.S. Gov't; Support, U.S. Gov't, P.H.S.; Time Factors",,Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rogan M.T., Staubli U.V., LeDoux J.E.",Fear conditioning induces associative long-term potentiation in the amygdala,1997,Nature,692,http://www.scopus.com/inward/record.url?eid=2-s2.0-0031471239&partnerID=40&md5=e7cee2bed3df282017aaddb3cea56536,"Long-term potentiation (LTP) is an experience-dependent form of neural plasticity believed to involve mechanisms that underlie memory formation. LTP has been studied most extensively in the hippocampus, but the relation between hippocampal LTP and memory has been difficult to establish. Here we explore the relation between LTP and memory in fear conditioning, an amygdala-dependent form of learning in which an innocuous conditioned stimulus (CS) elicits fear responses after being associatively paired with an aversive unconditioned stimulus (US). We have previously shown that LTP induction in pathways that transmit auditory CS information to the lateral nucleus of the amygdala (LA) increases auditory-evoked field potentials in this nucleus. Now we show that fear conditioning alters auditory CS-evoked responses in LA in the same way as LTP induction. The changes parallel the acquisition of CS-elicited fear behaviour, are enduring, and do not occur if the CS and US remain unpaired. LTP-like associative processes thus occur during fear conditioning, and these may underlie the long-term associative plasticity that constitutes memory of the conditioning experience.",,"amygdaloid nucleus; animal experiment; article; association; conditioning; controlled study; evoked auditory response; fear; hippocampus; long term potentiation; memory; nerve cell plasticity; nonhuman; priority journal; rat; Amygdala; Animals; Association Learning; Conditioning, Classical; Evoked Potentials, Auditory; Fear; Long-Term Potentiation; Memory; Rats",,Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Silva A.J., Paylor R., Wehner J.M., Tonegawa S.",Impaired spatial learning in ë±-calcium-calmodulin kinase II mutant mice,1992,Science,690,http://www.scopus.com/inward/record.url?eid=2-s2.0-0026742451&partnerID=40&md5=ed068f39250a3b3af447919bcebeb5ba,"Although long-term potentiation (LTP) has been studied as the mechanism for hippocampus-dependent learning and memory, evidence for this hypothesis is still incomplete. The mice with a mutation in the ë±-calcium-calmodulin-dependent kinase II (ë±-CaMKII), a synaptic protein enriched in the hippocampus, are appropriate for addressing this issue because the hippocampus of these mice is deficient in LTP but maintains intact postsynaptic mechanisms. These mutant mice exhibit specific learning impairments, an indication that ë±-CaMKII has a prominent role in spatial learning, but that it is not essential for some types of non-spatial learning. The data considerably strengthen the contention that the synaptic changes exhibited in LTP are the basis for spatial memory.",,"protein kinase (calcium,calmodulin) ii; animal experiment; animal model; article; long term potentiation; memory; mouse; mouse mutant; nonhuman; priority journal; spatial memory; Animal; Aptitude Tests; Ca(2+)-Calmodulin Dependent Protein Kinase; Electrophysiology; Hippocampus; Learning; Mice; Mice, Mutant Strains; Protein Kinases; Support, Non-U.S. Gov't; Support, U.S. Gov't, Non-P.H.S.",,Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grant S.G.N., O'Dell T.J., Karl K.A., Stein P.L., Soriano P., Kandel E.R.","Impaired long-term potentiation, spatial learning, and hippocampal development in fyn mutant mice",1992,Science,675,http://www.scopus.com/inward/record.url?eid=2-s2.0-0027092647&partnerID=40&md5=d587092739699baf26cb38ede9afe529,"Mice with mutations in four nonreceptor tyrosine kinase genes, fyn, src, yes, and abl, were used to study the role of these kinases in long-term potentiation (LTP) and in the relation of LTP to spatial learning and memory. All four kinases were expressed in the hippocampus. Mutations in src, yes, and abl did not interfere with either the induction or the maintenance of LTP. However, in fyn mutants, LTP was blunted even though synaptic transmission and two short-term forms of synaptic plasticity, paired-pulse facilitation and post-tetanic potentiation, were normal. In parallel with the blunting of LTP, fyn mutants showed impaired spatial learning, consistent with a functional link between LTP and learning. Although fyn is expressed at mature synapses, its lack of expression during development resulted in an increased number of granule cells in the dentate gyrus and of pyramidal cells in the CA3 region. Thus, a common tyrosine kinase pathway may regulate the growth of neurons in the developing hippocampus and the strength of synaptic plasticity in the mature hippocampus.",,"protein tyrosine kinase; article; brain development; gene expression; hippocampus; learning; long term potentiation; mouse; mutant; nerve cell plasticity; nonhuman; priority journal; 2-Amino-5-phosphonovalerate; Acetylcholinesterase; Animal; Brain; Cerebral Cortex; Electric Stimulation; Genes, abl; Genes, src; Hippocampus; In Vitro; Learning; Mice; Mice, Neurologic Mutants; Neurons; Protein-Tyrosine Kinase; Proto-Oncogene Proteins; Pyramidal Tracts; Receptors, N-Methyl-D-Aspartate; Space Perception; Support, Non-U.S. Gov't; Support, U.S. Gov't, P.H.S.; Synapses",,Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thompson R.F., Spencer W.A.",Habituation: A model phenomenon for the study of neuronal substrates of behavior,1966,Psychological Review,658,http://www.scopus.com/inward/record.url?eid=2-s2.0-0013865890&partnerID=40&md5=b7c83c3b0b9f2da14389d8083f689b86,"Recent habituation literature is reviewed with emphasis on neuro-physiological studies. The hindlimb flexion reflex of the acute spinal cat is used as a model system for analysis of the neuronal mechanisms involved in habituation and sensitization (i.e., dishabituation). Habituation of this response is demonstrated to follow the same 9 parametric relations for stimulus and training variables characteristic of behavioral response habituation in the intact organism. Habituation and sensitization appear to be central neural processes and probably do not involve presynaptic or postsynaptic inhibition. It is suggested that they may result from the interaction of neural processes resembling ""polysynaptic low-frequency depression,"" and ""facilitatory afterdischarge."" ""Membrane desensitization"" may play a role in long-lasting habituation. (6 p. ref.) (PsycINFO Database Record (c) 2006 APA, all rights reserved). å© 1966 American Psychological Association.","BEHAVIOR, NEURONAL SUBSTRATES, & HABITUATION; HABITUATION, NEURONAL SUBSTRATES OF BEHAVIOR; NEUROLOGY, NEURONAL SUBSTRATES OF BEHAVIOR & HABITUATION; PHYSIOLOGICAL PSYCHOLOGY","adaptation; animal; behavior; human; neurophysiology; psychophysiology; review; Adaptation, Physiological; Animal; Behavior; Human; Neurophysiology; Psychophysiology",,Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Squire L.R., Alvarez P.",Retrograde amnesia and memory consolidation: A neurobiological perspective,1995,Current Opinion in Neurobiology,626,http://www.scopus.com/inward/record.url?eid=2-s2.0-0028902884&partnerID=40&md5=6ff1d8bb390e260401fafa0329b4b74c,"The fact that information acquired before the onset of amnesia can be lost (retrograde amnesia) has fascinated psychologists, biologists, and clinicians for over 100 years. Studies of retrograde amnesia have led to the concept of memory consolidation, whereby medial temporal lobe structures direct the gradual establishment of memory representations in neocortex. Recent theoretical accounts have inspired a simple neural network model that produces behavior consistent with experimental data and makes these ideas about memory consolidation more concrete. Recent physiological and anatomical findings provide important information about how memory consolidation might actually occur.",,"hippocampus; human; mathematical model; memory consolidation; neocortex; priority journal; retrograde amnesia; review; temporal lobe; Amnesia, Retrograde; Animal; Human; Memory; Nervous System Physiology; Support, Non-U.S. Gov't; Support, U.S. Gov't, Non-P.H.S.; Support, U.S. Gov't, P.H.S.",,Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yin J.C.P., Wallach J.S., Del Vecchio M., Wilder E.L., Zhou H., Quinn W.G., Tully T.",Induction of a dominant negative CREB transgene specifically blocks long-term memory in Drosophila,1994,Cell,610,http://www.scopus.com/inward/record.url?eid=2-s2.0-0027983479&partnerID=40&md5=3d9c5f20ad6e40363b3e5f8907edc5c9,"Consolidated memory after olfactory learning in Drosophila consists of two components, a cycloheximide-sensitive, long-term memory (LTM) and a cycloheximide-insensitive, anesthesia-resistant memory (ARM). Using an inducible transgene that expresses a dominant negative member of the fly CREB family, LTM was specifically and completely blocked only after induction, while ARM and learning were unaffected. These results suggest that LTM formation requires de novo gene expression probably mediated by CREB family genes.",,"binding protein; cyclic amp; cycloheximide; article; cell stimulation; drosophila; gene expression; gene induction; genetic conservation; learning; long term memory; multigene family; nonhuman; olfactory epithelium; priority journal; transgene; Amino Acid Sequence; Animal; Animals, Genetically Modified; Conditioning, Classical; DNA-Binding Protein, Cyclic AMP-Responsive; Drosophila; Gene Expression; Genes, Dominant; Genes, Structural, Insect; Heat; Memory; Molecular Sequence Data; RNA, Messenger; Support, Non-U.S. Gov't; Support, U.S. Gov't, P.H.S.",,Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Squire L.R., Knowlton B., Musen G.",The structure and organization of memory,1993,Annual Review of Psychology,569,http://www.scopus.com/inward/record.url?eid=2-s2.0-0027351647&partnerID=40&md5=1ec5fc7ccabf9ce4334437e6ee7310ff,[No abstract available],Amnesia; Brain systems; Declarative memory; Hippocampus; Nondeclarative memory,"biological model; brain; cognition; female; hippocampus; human; learning; male; memory; physiology; review; Brain; Cognition; Female; Hippocampus; Human; Learning; Male; Memory; Models, Biological; Support, Non-U.S. Gov't; Support, U.S. Gov't, Non-P.H.S.; Support, U.S. Gov't, P.H.S.",,Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tsien J.Z., Chen D.F., Gerber D., Tom C., Mercer E.H., Anderson D.J., Mayford M., Kandel E.R., Tonegawa S.",Subregion- and cell type-restricted gene knockout in mouse brain,1996,Cell,568,http://www.scopus.com/inward/record.url?eid=2-s2.0-0030460425&partnerID=40&md5=abc7dad5d60db4286afbf9b29e0193fc,"Using the phage P1-derived Cre/loxP recombination system, we have developed a method to create mice in which the deletion (knockout) of virtually any gene of interest is restricted to a subregion or a specific cell type in the brain such as the pyramidal cells of the hippocampal CA1 region. The Cre/loxP recombination-based gene deletion appears to require a certain level of Cre protein expression. The brain subregional restricted gene knockout should allow a more precise analysis of the impact of a gene mutation on animal behaviors.",,"animal behavior; animal cell; animal tissue; article; diagnostic accuracy; embryo development; gene deletion; genetic recombination; hippocampus; mouse; nonhuman; priority journal; protein expression; pyramidal nerve cell; Animals; Ca(2+)-Calmodulin Dependent Protein Kinase; Gene Expression; Gene Expression Regulation; Genetic Engineering; Gestational Age; Hippocampus; Integrases; Mice; Mice, Knockout; Mice, Transgenic; Promoter Regions (Genetics); Recombination, Genetic; RNA, Messenger; Sequence Deletion; Viral Proteins","Angevine, J.B., Time of neuron origin in the hippocampal region (1965) Exp. Neurol. Suppl., 2, pp. 1-70; Burgin, K.E., Waxham, M.N., Rickling, S., Westgate, S.A., Mobley, W.C., Kelly, P.T., In situ hubridization histochemistry of Ca2+/calmoldulin-dependent protein kinase in developing rat brain (1990) J. Neurosci., 10, pp. 1788-1798; Capecchi, M.R., Altering the genome by homologous recombination (1989) Science, 244, pp. 1288-1292; Capecchi, M.R., Targeted gene replacement (1994) Sci. Am., 270, pp. 52-59; Davis, H.P., Squire, L.R., Protein systhesis and memory (1984) Psychol. Bull., 96, pp. 518-559; Davis, S., Butcher, S.P., Morris, R.G.M., The NMDA recep-tor antagonist D-2-amino-5-phosphoropentanoate (D-AP5) impairs spatial learning and LTP in vivo at intracerebral concentrations comparable to those that block LTP in vitro (1992) J. Neurosci., 12, pp. 21-34; Eccles, J.C., The neurophysiological basis of mind (1953) The Principles of Neurophysiology, , Oxford: Clarendon Press; Grant, S.U.N., O'Dell, T., Karl, K.A., Stein, P., Soriano, P., Kandel, E.L., Impaired long-term potentiation, spatial learning, and hippocampal development of fyn mutant mice (1992) Science, 258, pp. 1903-1910; Gu, M., Marth, J.D., Orban, P.C., Mossmann, H., Ragewsky, K., Deletion of a DNA polymerase ë_ gene segment in T cells using cell type-specific gene targeting (1994) Science, 265, pp. 103-106; Hebb, D.O., (1949) The Organization of Behavior, , New York: Wiley; Hogan, B., Constantin, F., Lacy, E., (1986) Manipulating the Mouse Embryo: A Laboratory Manual, , Plainview, New York: Cold Spring Harbor Press; Joyner, A.L., Gene targeting and development of the nervous system (1994) Curr. Opin. Neurobiol., 4, pp. 37-42; Kalderon, D., Roberts, B.L., Richardson, W.D., Smith, A.E., A short amino acid sequence able to specify nuclear location (1984) Cell, 39, pp. 449-509; Kistner, A., Gossen, M., Zimmerman, F., Jerecic, J., Ullmer, E., Lubbert, H., Bujard, H., Doxycycline-mediated quantitative and tissue-specific control of gene expression in transgenic mice (1996) Proc. Nat. Acad. Sci. USA, 93, pp. 10933-10938; Lasko, M., Sauer, B., Mosinger, B., Lee, E.J., Manning, R.W., Yu, S.-H., Mulder, K.L., Westphal, H., Targeted oncogene activation by site-specific recombination in transgenic mice (1992) Proc. Natl. Acad. Sci. USA, 89, pp. 6232-6236; Mayford, M., Wang, J., Kandel, E.L., O'Dell, T., CaMII regulates the frequency-response funtion of hippocampal synapses for the production of both LTD and LTP (1995) Cell, 81, pp. 891-904; Mayford, M., Baranes, D., Podsypanina, K., Kandel, E., The 3‰Û_-untranslated region of CaMKII ë± is a cis-acting signal for the localization and translation of mRNA in dendrites (1996) Proc. Natl. Acad. Sci. USA, , in press; Mayford, M., Bach, M.E., Huang, Y.-Y., Wang, L., Hawkins, R.D., Kandel, E.R., Controlling memory formation using regulated expression of a CaMKII transgene (1996) Science, , in press; Morris, R.G.M., Anderson, E., Lynch, A.S., Baudry, M., Selective impairment of learning and blockade of long-term potentiation by an N-methyl-D-aspartate receptor antagonist, APS (1986) Nature, 379, pp. 774-776; Oberdick, J., Smeyne, R.J., Mann, J.R., Zackson, S., Morgan, J.I., A promoterthat drives transgene expression in cerebellar Purkinje and retinal bipolar neurons (1990) Science, 248, pp. 223-226; Pokorny, J., Yamamoto, T., Postnatal ontogenesis of hippocampal CA1 area in rats. I. Development of dendritic arborisation in pyramidal neurons (1981) Brain Res. Bull., 7, pp. 113-120; Pokorny, J., Yamamoto, T., Postnatal ontogenesis of hippocampal CA1 area in rats. II. Development of ultrastructure in stratum lacunosum and moleculare (1981) Brain Res. Bull., 7, pp. 121-130; Sambrook, J., Fritsch, E.F., Maniatis, T., (1989) Molecular Cloning: A Laboratory Manual, , Plainview, New York: Cold Spring Harbor Press; Saucier, D., Hargreaves, E., Boon, F., Vanderwolf, C., Cain, O.P., Detailed behavioral analysis of water maze acquisition. II. Contribution of sensorimotor disturbances to acquisition defiicts caused by the novel competitive NMDA antagonist NPC17742 and scopolamine (1996) Behav. Neurosci., 110, pp. 103-116; Sauer, B., Henderson, N., Site-specific DNA recombination in mammalian cells by the Cre recombinase of bacteriophage P1 (1988) Proc. Nat. Acad. Sci. USA, 85, pp. 5166-5170; Silva, A.J., Stevens, C.F., Tonegawa, S., Wang, Y., Deficient hippocampal long-term potentiation in a-calcium-calmodulin kinase Il mutant mice (1992) Science, 257, pp. 201-206; Silva, A.J., Paylor, R., Wehner, J.M., Tonegawa, S., Impaired spatial learning in a-calcium-calmodulin kinase II mutant mice (1992) Science, 257, pp. 206-211; Stanfield, B.B., Cowan, W., The development of the hippocampus and dentate gyrus innormal and reeler mice (1979) J. Comp. Neurol., 185, pp. 423-459; Tsien, J.Z., Huerta, P.T., Tonegawa, S., The essential role of hippocampal CA1 NMDA receptor-dependent synaptic plasticity in spatial memory (1996) Cell, 87 (THIS ISSUE); Wang, Y., O'Malley B.W., Jr., Tsai, S.Y., O'Malley, B.W., A regulatory system for use in gene transfer (1994) Proc. Natl. Acad. Sci. USA, 91, pp. 8180-8184; Wei, J.J., Hofstetter, R.J., Modes, M.E., Screening and isolation of the cerebellar specific expressed mRNA in mouse (1991) I Chuan Hsueh Pao, 18, pp. 320-331; Zhang, Y., Riesterer, C., Ayrall, A., Sablitzky, F., Littlewood, T., Reth, M., Lnducible site-directed recombination in mouse embryonic stem cells (1996) Nucleic Acid Res., 24, pp. 543-548",Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
